2016-12-13 14:03:48.062 +02:00 [Information] Version 1.9
2016-12-13 14:03:48.398 +02:00 [Verbose] Date: 1937/09/01 08:00; Rainfall: 
2016-12-13 14:03:48.525 +02:00 [Verbose] Date: 1937/09/11 14:00; Rainfall: 
2016-12-13 14:03:48.525 +02:00 [Verbose] Date: 1937/09/12 08:00; Rainfall: 
2016-12-13 14:03:48.525 +02:00 [Verbose] Date: 1937/09/12 14:00; Rainfall: 
2016-12-13 14:03:48.525 +02:00 [Verbose] Date: 1937/09/13 08:00; Rainfall: 
2016-12-13 14:03:48.525 +02:00 [Verbose] Date: 1937/09/13 14:00; Rainfall: 13.462
2016-12-13 14:03:48.526 +02:00 [Verbose] Date: 1937/09/14 08:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/14 14:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/15 08:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/15 14:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/16 08:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/16 14:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/17 08:00; Rainfall: 
2016-12-13 14:03:48.527 +02:00 [Verbose] Date: 1937/09/17 14:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/18 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/18 14:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/19 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/19 14:00; Rainfall: 8.382
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/20 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/20 14:00; Rainfall: 2.54
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/21 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/21 14:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/22 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/22 14:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/23 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/23 14:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/24 08:00; Rainfall: 
2016-12-13 14:03:48.528 +02:00 [Verbose] Date: 1937/09/24 14:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/25 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/25 14:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/26 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/26 14:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/27 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/27 14:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/28 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/28 14:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/29 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/29 14:00; Rainfall: 0.508
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/30 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/09/30 14:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/10/01 08:00; Rainfall: 
2016-12-13 14:03:48.529 +02:00 [Verbose] Date: 1937/10/01 14:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/02 08:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/02 14:00; Rainfall: 1.27
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/03 08:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/03 14:00; Rainfall: 2.794
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/04 08:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/04 14:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/05 08:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/05 14:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/06 08:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/06 14:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/07 08:00; Rainfall: 5.08
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/07 14:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/08 08:00; Rainfall: 
2016-12-13 14:03:48.530 +02:00 [Verbose] Date: 1937/10/08 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/09 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/09 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/10 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/10 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/11 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/11 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/12 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/12 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/13 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/13 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/14 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/14 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/15 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/15 14:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/16 08:00; Rainfall: 
2016-12-13 14:03:48.531 +02:00 [Verbose] Date: 1937/10/16 14:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/17 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/17 14:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/18 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/18 14:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/19 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/19 14:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/20 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/20 14:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/21 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/21 14:00; Rainfall: 1.27
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/22 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/22 14:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/23 08:00; Rainfall: 
2016-12-13 14:03:48.532 +02:00 [Verbose] Date: 1937/10/23 14:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/24 08:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/24 14:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/25 08:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/25 14:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/26 08:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/26 14:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/27 08:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/27 14:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/28 08:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/28 14:00; Rainfall: 
2016-12-13 14:03:48.533 +02:00 [Verbose] Date: 1937/10/29 08:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/10/29 14:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/10/30 08:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/10/30 14:00; Rainfall: 12.7
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/10/31 08:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/10/31 14:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/11/01 08:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/11/01 14:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/11/02 08:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/11/02 14:00; Rainfall: 
2016-12-13 14:03:48.534 +02:00 [Verbose] Date: 1937/11/03 08:00; Rainfall: 
2016-12-13 14:03:48.535 +02:00 [Verbose] Date: 1937/11/03 14:00; Rainfall: 
2016-12-13 14:03:48.535 +02:00 [Verbose] Date: 1937/11/04 08:00; Rainfall: 
2016-12-13 14:03:48.535 +02:00 [Verbose] Date: 1937/11/04 14:00; Rainfall: 38.354
2016-12-13 14:03:48.535 +02:00 [Verbose] Date: 1937/11/05 08:00; Rainfall: 
2016-12-13 14:03:48.535 +02:00 [Verbose] Date: 1937/11/05 14:00; Rainfall: 2.286
2016-12-13 14:03:48.535 +02:00 [Verbose] Date: 1937/11/06 08:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/06 14:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/07 08:00; Rainfall: 6.604
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/07 14:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/08 08:00; Rainfall: 4.318
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/08 14:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/09 08:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/09 14:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/10 08:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/10 14:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/11 08:00; Rainfall: 
2016-12-13 14:03:48.536 +02:00 [Verbose] Date: 1937/11/11 14:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/12 08:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/12 14:00; Rainfall: 1.778
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/13 08:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/13 14:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/14 08:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/14 14:00; Rainfall: 19.558
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/15 08:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/15 14:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/16 08:00; Rainfall: 
2016-12-13 14:03:48.537 +02:00 [Verbose] Date: 1937/11/16 14:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/17 08:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/17 14:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/18 08:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/18 14:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/19 08:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/19 14:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/20 08:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/20 14:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/21 08:00; Rainfall: 
2016-12-13 14:03:48.538 +02:00 [Verbose] Date: 1937/11/21 14:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/22 08:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/22 14:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/23 08:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/23 14:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/24 08:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/24 14:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/25 08:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/25 14:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/26 08:00; Rainfall: 
2016-12-13 14:03:48.539 +02:00 [Verbose] Date: 1937/11/26 14:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/27 08:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/27 14:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/28 08:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/28 14:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/29 08:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/29 14:00; Rainfall: 2.54
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/30 08:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/11/30 14:00; Rainfall: 3.556
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/12/01 08:00; Rainfall: 
2016-12-13 14:03:48.540 +02:00 [Verbose] Date: 1937/12/01 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/02 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/02 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/03 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/03 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/04 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/04 14:00; Rainfall: 18.288
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/05 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/05 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/06 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/06 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/07 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/07 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/08 08:00; Rainfall: 0.762
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/08 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/09 08:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/09 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/10 08:00; Rainfall: 1.778
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/10 14:00; Rainfall: 
2016-12-13 14:03:48.541 +02:00 [Verbose] Date: 1937/12/11 08:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/11 14:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/12 08:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/12 14:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/13 08:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/13 14:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/14 08:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/14 14:00; Rainfall: 
2016-12-13 14:03:48.542 +02:00 [Verbose] Date: 1937/12/15 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/15 14:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/16 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/16 14:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/17 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/17 14:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/18 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/18 14:00; Rainfall: 20.066
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/19 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/19 14:00; Rainfall: 5.334
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/20 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/20 14:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/21 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/21 14:00; Rainfall: 22.86
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/22 08:00; Rainfall: 
2016-12-13 14:03:48.543 +02:00 [Verbose] Date: 1937/12/22 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/23 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/23 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/24 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/24 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/25 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/25 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/26 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/26 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/27 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/27 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/28 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/28 14:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/29 08:00; Rainfall: 
2016-12-13 14:03:48.544 +02:00 [Verbose] Date: 1937/12/29 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1937/12/30 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1937/12/30 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1937/12/31 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1937/12/31 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/01 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/01 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/02 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/02 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/03 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/03 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/04 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/04 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/05 08:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/05 14:00; Rainfall: 
2016-12-13 14:03:48.545 +02:00 [Verbose] Date: 1938/01/06 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/06 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/07 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/07 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/08 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/08 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/09 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/09 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/10 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/10 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/11 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/11 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/12 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/12 14:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/13 08:00; Rainfall: 
2016-12-13 14:03:48.546 +02:00 [Verbose] Date: 1938/01/13 14:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/14 08:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/14 14:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/15 08:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/15 14:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/16 08:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/16 14:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/17 08:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/17 14:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/18 08:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/18 14:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/19 08:00; Rainfall: 
2016-12-13 14:03:48.547 +02:00 [Verbose] Date: 1938/01/19 14:00; Rainfall: 
